Training for Eve start
Compression Rate: 0.8
SNR Value: -5
epoch: 34, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 35, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 36, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 37, Train Loss: nan, Train Acc: 0.098764, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 38, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 39, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 40, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 41, Train Loss: nan, Train Acc: 0.098664, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 42, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 43, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 44, Train Loss: nan, Train Acc: 0.098747, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 45, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 46, Train Loss: nan, Train Acc: 0.098747, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 47, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 48, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 49, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 50, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 51, Train Loss: nan, Train Acc: 0.098797, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 52, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 53, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 54, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 55, Train Loss: nan, Train Acc: 0.098747, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 56, Train Loss: nan, Train Acc: 0.098764, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 57, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 58, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 59, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 60, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 61, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 62, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 63, Train Loss: nan, Train Acc: 0.098747, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 64, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 65, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 66, Train Loss: nan, Train Acc: 0.098764, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 67, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 68, Train Loss: nan, Train Acc: 0.098747, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 69, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 70, Train Loss: nan, Train Acc: 0.098764, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
